time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,latitude,longitude
2020-04-08,20.6,19.4,0.0,79,14.7167,-17.4677
2020-04-09,20.9,19.7,0.0,80,14.7167,-17.4677
2020-04-10,20.8,19.3,0.0,84,14.7167,-17.4677
2020-04-11,21.5,19.5,0.0,91,14.7167,-17.4677
2020-04-12,20.8,19.5,0.0,92,14.7167,-17.4677
2020-04-13,21.3,20.3,0.0,91,14.7167,-17.4677
2020-04-14,21.0,20.5,0.0,90,14.7167,-17.4677
2020-04-15,20.8,20.0,0.0,88,14.7167,-17.4677
2020-04-16,20.4,19.9,0.0,90,14.7167,-17.4677
2020-04-17,20.4,20.0,0.0,90,14.7167,-17.4677
2020-04-18,20.3,19.4,0.0,88,14.7167,-17.4677
2020-04-19,19.9,19.2,0.0,90,14.7167,-17.4677
2020-04-20,21.0,19.5,0.0,87,14.7167,-17.4677
2020-04-21,21.1,20.2,0.0,83,14.7167,-17.4677
2020-04-22,21.0,19.6,0.0,93,14.7167,-17.4677
2020-04-23,20.0,19.5,0.0,92,14.7167,-17.4677
2020-04-24,19.5,19.1,0.0,91,14.7167,-17.4677
2020-04-25,19.8,19.1,0.0,90,14.7167,-17.4677
2020-04-26,20.3,19.4,0.0,90,14.7167,-17.4677
2020-04-27,21.0,20.0,0.0,86,14.7167,-17.4677
2020-04-28,20.9,20.0,0.0,85,14.7167,-17.4677
2020-04-29,21.4,20.3,0.0,84,14.7167,-17.4677
2020-04-30,23.3,20.9,0.0,78,14.7167,-17.4677
2020-05-01,21.8,20.4,0.0,87,14.7167,-17.4677
2020-05-02,21.2,19.7,0.0,89,14.7167,-17.4677
2020-05-03,21.0,20.1,0.0,88,14.7167,-17.4677
2020-05-04,21.1,20.5,0.0,83,14.7167,-17.4677
2020-05-05,21.1,20.3,0.0,85,14.7167,-17.4677
2020-05-06,20.7,19.7,0.0,93,14.7167,-17.4677
2020-05-07,21.0,20.5,0.0,89,14.7167,-17.4677
2020-05-08,21.3,20.5,0.0,86,14.7167,-17.4677
2020-05-09,21.1,20.5,0.0,85,14.7167,-17.4677
2020-05-10,21.1,19.9,0.0,90,14.7167,-17.4677
2020-05-11,21.1,20.1,0.0,91,14.7167,-17.4677
2020-05-12,20.6,19.8,0.0,93,14.7167,-17.4677
2020-05-13,20.7,20.3,0.0,86,14.7167,-17.4677
2020-05-14,20.9,20.0,0.0,89,14.7167,-17.4677
2020-05-15,20.7,20.2,0.0,88,14.7167,-17.4677
2020-05-16,21.1,20.2,0.0,89,14.7167,-17.4677
2020-05-17,21.1,20.1,0.0,88,14.7167,-17.4677
2020-05-18,20.6,20.0,0.0,92,14.7167,-17.4677
2020-05-19,20.5,20.2,0.0,94,14.7167,-17.4677
2020-05-20,20.7,20.3,0.0,92,14.7167,-17.4677
2020-05-21,20.9,20.5,0.0,91,14.7167,-17.4677
2020-05-22,21.5,20.9,0.0,89,14.7167,-17.4677
2020-05-23,21.6,20.9,0.0,91,14.7167,-17.4677
2020-05-24,21.0,20.8,0.0,94,14.7167,-17.4677
2020-05-25,21.8,20.8,0.0,94,14.7167,-17.4677
2020-05-26,22.2,21.3,0.0,92,14.7167,-17.4677
2020-05-27,22.6,21.6,0.0,92,14.7167,-17.4677
2020-05-28,23.4,22.1,0.0,94,14.7167,-17.4677
2020-05-29,23.3,22.4,0.0,94,14.7167,-17.4677
2020-05-30,23.3,22.6,0.0,89,14.7167,-17.4677
2020-05-31,22.8,22.0,0.0,87,14.7167,-17.4677
2020-06-01,22.2,21.7,0.0,90,14.7167,-17.4677
2020-06-02,22.7,22.1,0.0,89,14.7167,-17.4677
2020-06-03,22.9,22.4,0.0,87,14.7167,-17.4677
2020-06-04,22.9,22.5,0.0,87,14.7167,-17.4677
2020-06-05,23.1,22.7,0.0,89,14.7167,-17.4677
2020-06-06,23.1,22.1,0.0,89,14.7167,-17.4677
2020-06-07,22.7,21.6,0.0,93,14.7167,-17.4677
2020-06-08,23.5,21.7,0.0,97,14.7167,-17.4677
2020-06-09,24.0,22.6,0.0,97,14.7167,-17.4677
2020-06-10,24.0,23.0,0.0,96,14.7167,-17.4677
2020-06-11,24.5,23.4,0.0,94,14.7167,-17.4677
2020-06-12,24.5,23.5,0.0,97,14.7167,-17.4677
2020-06-13,24.8,23.8,0.0,96,14.7167,-17.4677
2020-06-14,25.0,24.0,0.0,92,14.7167,-17.4677
2020-06-15,25.6,24.6,0.0,94,14.7167,-17.4677
2020-06-16,25.6,24.8,0.0,93,14.7167,-17.4677
2020-06-17,25.3,24.9,0.0,91,14.7167,-17.4677
2020-06-18,25.9,24.9,0.0,94,14.7167,-17.4677
2020-06-19,25.7,25.2,0.0,94,14.7167,-17.4677
2020-06-20,25.3,24.8,0.0,85,14.7167,-17.4677
2020-06-21,25.6,24.9,0.0,88,14.7167,-17.4677
2020-06-22,25.7,25.4,0.0,87,14.7167,-17.4677
2020-06-23,26.2,25.2,0.0,87,14.7167,-17.4677
2020-06-24,26.4,25.6,0.0,90,14.7167,-17.4677
2020-06-25,25.6,24.6,0.0,90,14.7167,-17.4677
2020-06-26,25.1,24.6,0.0,87,14.7167,-17.4677
2020-06-27,25.7,24.5,0.0,86,14.7167,-17.4677
2020-06-28,25.6,25.0,0.0,86,14.7167,-17.4677
2020-06-29,26.1,25.0,0.0,84,14.7167,-17.4677
2020-06-30,26.5,25.5,0.0,82,14.7167,-17.4677
2020-07-01,26.2,25.5,0.0,83,14.7167,-17.4677
2020-07-02,26.0,25.2,0.5,87,14.7167,-17.4677
2020-07-03,25.5,24.6,0.0,87,14.7167,-17.4677
2020-07-04,25.9,25.2,0.0,88,14.7167,-17.4677
2020-07-05,26.5,24.9,0.0,85,14.7167,-17.4677
2020-07-06,26.9,25.9,0.0,81,14.7167,-17.4677
2020-07-07,27.2,26.2,0.0,88,14.7167,-17.4677
2020-07-08,26.4,26.0,0.0,87,14.7167,-17.4677
2020-07-09,26.6,25.2,0.0,88,14.7167,-17.4677
2020-07-10,26.7,25.9,0.0,79,14.7167,-17.4677
2020-07-11,27.2,25.9,0.1,89,14.7167,-17.4677
2020-07-12,26.0,25.5,3.0,89,14.7167,-17.4677
2020-07-13,26.7,25.3,3.5,90,14.7167,-17.4677
2020-07-14,26.8,26.0,1.9,89,14.7167,-17.4677
2020-07-15,26.0,25.0,0.0,82,14.7167,-17.4677
2020-07-16,26.3,25.3,0.0,80,14.7167,-17.4677
2020-07-17,25.9,25.1,0.2,83,14.7167,-17.4677
2020-07-18,26.3,24.7,1.1,86,14.7167,-17.4677
2020-07-19,26.9,25.8,0.0,86,14.7167,-17.4677
2020-07-20,26.9,26.1,0.0,88,14.7167,-17.4677
2020-07-21,27.1,25.0,17.3,89,14.7167,-17.4677
2020-07-22,27.3,25.8,0.7,88,14.7167,-17.4677
2020-07-23,27.3,26.5,0.8,91,14.7167,-17.4677
2020-07-24,27.1,26.1,0.2,89,14.7167,-17.4677
2020-07-25,27.6,26.5,0.2,85,14.7167,-17.4677
2020-07-26,27.5,25.9,0.4,89,14.7167,-17.4677
2020-07-27,27.1,26.1,1.6,89,14.7167,-17.4677
2020-07-28,27.6,26.1,1.9,88,14.7167,-17.4677
2020-07-29,27.8,25.7,1.5,89,14.7167,-17.4677
2020-07-30,27.2,25.6,3.6,91,14.7167,-17.4677
2020-07-31,27.6,25.3,13.9,91,14.7167,-17.4677
2020-08-01,27.8,26.9,0.0,84,14.7167,-17.4677
2020-08-02,28.0,27.4,0.0,83,14.7167,-17.4677
2020-08-03,27.8,27.0,0.1,85,14.7167,-17.4677
2020-08-04,27.8,26.7,0.1,86,14.7167,-17.4677
2020-08-05,27.5,26.6,0.5,86,14.7167,-17.4677
2020-08-06,27.3,25.8,2.9,88,14.7167,-17.4677
2020-08-07,27.2,26.0,4.2,89,14.7167,-17.4677
2020-08-08,27.3,26.4,0.0,84,14.7167,-17.4677
2020-08-09,27.3,26.9,0.0,83,14.7167,-17.4677
2020-08-10,27.4,26.6,0.0,83,14.7167,-17.4677
2020-08-11,27.2,26.2,0.0,80,14.7167,-17.4677
2020-08-12,27.3,26.5,0.0,77,14.7167,-17.4677
2020-08-13,27.6,26.9,0.2,81,14.7167,-17.4677
2020-08-14,27.1,25.0,9.3,88,14.7167,-17.4677
2020-08-15,27.8,26.8,0.5,85,14.7167,-17.4677
2020-08-16,28.2,27.5,0.0,88,14.7167,-17.4677
2020-08-17,28.0,27.4,0.3,87,14.7167,-17.4677
2020-08-18,28.0,27.1,0.4,88,14.7167,-17.4677
2020-08-19,27.7,27.1,0.8,89,14.7167,-17.4677
2020-08-20,27.5,26.3,0.9,85,14.7167,-17.4677
2020-08-21,27.0,25.4,47.1,89,14.7167,-17.4677
2020-08-22,27.5,26.5,1.1,84,14.7167,-17.4677
2020-08-23,27.8,27.3,0.0,82,14.7167,-17.4677
2020-08-24,27.9,27.3,0.0,84,14.7167,-17.4677
2020-08-25,27.7,27.0,0.0,85,14.7167,-17.4677
2020-08-26,27.6,26.0,3.7,88,14.7167,-17.4677
2020-08-27,26.8,25.1,10.6,91,14.7167,-17.4677
2020-08-28,27.1,25.1,10.3,89,14.7167,-17.4677
2020-08-29,27.9,26.9,0.4,87,14.7167,-17.4677
